Force_True_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(7, 10.0, 0.275): 0.266666666667
(7, 10.0, 0.3): 0.266666666667
(7, 100.0, 0.2): 0.2
(7, 100.0, 0.225): 0.0666666666667
(7, 100.0, 0.25): 0.133333333333
(7, 100.0, 0.275): 0.266666666667
(7, 100.0, 0.3): 0.266666666667
(8, 1.0, 0.2): 0.666666666667
(8, 1.0, 0.225): 0.0666666666667
(8, 1.0, 0.25): 0.133333333333
(8, 1.0, 0.275): 0.8
(8, 1.0, 0.3): 0.133333333333
(8, 10.0, 0.225): 0.333333333333
(8, 10.0, 0.275): 0.333333333333
(8, 10.0, 0.3): 0.133333333333
(8, 100.0, 0.2): 0.666666666667
(8, 100.0, 0.225): 0.533333333333
(8, 100.0, 0.275): 0.133333333333
(8, 100.0, 0.3): 0.133333333333
(9, 1.0, 0.225): 0.0
(9, 1.0, 0.25): 0.133333333333
(9, 1.0, 0.275): 0.8
(9, 1.0, 0.3): 0.8
(9, 10.0, 0.2): 0.0666666666667
(9, 10.0, 0.225): 0.0
(9, 10.0, 0.25): 0.133333333333
(9, 10.0, 0.275): 0.6
(9, 10.0, 0.3): 0.4
(9, 100.0, 0.225): 0.0
(9, 100.0, 0.25): 0.133333333333
(9, 100.0, 0.275): 0.6
(9, 100.0, 0.3): 0.333333333333

Accuracy mean :0.7279999999999999
Std deviation :0.1883291051639439
Loss mean :0.27199999999999996
Std deviation :0.1883291051639439



Force_True_4dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 4
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.225): 0.8
(1, 100.0, 0.2): 0.6
(2, 1.0, 0.225): 0.8
(3, 1.0, 0.275): 0.933333333333
(4, 100.0, 0.275): 0.8
(5, 1.0, 0.25): 0.933333333333
(6, 100.0, 0.225): 0.733333333333
(7, 1.0, 0.225): 0.666666666667
(8, 10.0, 0.225): 0.866666666667
(9, 10.0, 0.225): 1.0

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.225): 0.2
(1, 100.0, 0.2): 0.4
(2, 1.0, 0.225): 0.2
(3, 1.0, 0.275): 0.0666666666667
(4, 100.0, 0.275): 0.2
(5, 1.0, 0.25): 0.0666666666667
(6, 100.0, 0.225): 0.266666666667
(7, 1.0, 0.225): 0.333333333333
(8, 10.0, 0.225): 0.133333333333
(9, 10.0, 0.225): 0.0

Accuracy mean :0.8133333333333332
Std deviation :0.1185092588975412
Loss mean :0.18666666666666665
Std deviation :0.11850925889754119

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.225): 0.82962962963
(1, 100.0, 0.2): 0.718518518519
(2, 1.0, 0.225): 0.785185185185
(3, 1.0, 0.275): 0.874074074074
(4, 100.0, 0.275): 0.807407407407
(5, 1.0, 0.25): 0.940740740741
(6, 100.0, 0.225): 0.755555555556
(7, 1.0, 0.225): 0.8
(8, 10.0, 0.225): 0.859259259259
(9, 10.0, 0.225): 0.851851851852
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.225): 0.17037037037
(1, 100.0, 0.2): 0.281481481481
(2, 1.0, 0.225): 0.214814814815
(3, 1.0, 0.275): 0.125925925926
(4, 100.0, 0.275): 0.192592592593
(5, 1.0, 0.25): 0.0592592592593
(6, 100.0, 0.225): 0.244444444444
(7, 1.0, 0.225): 0.2
(8, 10.0, 0.225): 0.140740740741
(9, 10.0, 0.225): 0.148148148148

Accuracy mean :0.8222222222222223
Std deviation :0.06026917216831998
Loss mean :0.17777777777777776
Std deviation :0.06026917216831998

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.6
(0, 1.0, 0.225): 0.666666666667
(0, 1.0, 0.25): 0.733333333333
(0, 1.0, 0.275): 0.666666666667
(0, 10.0, 0.2): 0.6
(0, 10.0, 0.225): 0.666666666667
(0, 10.0, 0.25): 0.733333333333
(0, 10.0, 0.275): 0.666666666667
(0, 100.0, 0.225): 0.666666666667
(0, 100.0, 0.25): 0.733333333333
(0, 100.0, 0.275): 0.933333333333
(1, 1.0, 0.2): 0.933333333333
(1, 1.0, 0.225): 0.733333333333
(1, 1.0, 0.25): 0.866666666667
(1, 1.0, 0.275): 0.866666666667
(1, 10.0, 0.225): 0.733333333333
(1, 10.0, 0.25): 0.866666666667
(1, 10.0, 0.275): 0.866666666667
(1, 100.0, 0.2): 0.933333333333
(1, 100.0, 0.225): 0.733333333333
(1, 100.0, 0.25): 0.866666666667
(1, 100.0, 0.275): 0.866666666667
(2, 1.0, 0.2): 0.533333333333
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.866666666667
(2, 1.0, 0.3): 0.866666666667
(2, 10.0, 0.2): 0.533333333333
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.866666666667
(2, 10.0, 0.3): 0.866666666667
(2, 100.0, 0.2): 0.533333333333
(2, 100.0, 0.225): 0.933333333333
(2, 100.0, 0.25): 0.866666666667
(2, 100.0, 0.3): 0.866666666667
(3, 1.0, 0.275): 0.933333333333
(3, 10.0, 0.275): 0.933333333333
(4, 0.1, 0.275): 0.866666666667
(4, 1.0, 0.2): 0.466666666667
(4, 1.0, 0.25): 0.733333333333
(4, 1.0, 0.275): 0.733333333333
(4, 10.0, 0.25): 0.733333333333
(4, 10.0, 0.275): 0.733333333333
(4, 100.0, 0.2): 0.4
(4, 100.0, 0.25): 0.733333333333
(4, 100.0, 0.275): 0.933333333333
(5, 0.1, 0.275): 0.733333333333
(5, 0.1, 0.3): 1.0
(5, 1.0, 0.25): 1.0
(5, 1.0, 0.275): 0.733333333333
(5, 1.0, 0.3): 1.0
(5, 10.0, 0.25): 0.933333333333
(5, 10.0, 0.275): 0.733333333333
(5, 10.0, 0.3): 1.0
(5, 100.0, 0.25): 0.933333333333
(5, 100.0, 0.275): 0.733333333333
(5, 100.0, 0.3): 1.0
(6, 1.0, 0.225): 0.733333333333
(6, 1.0, 0.25): 0.666666666667
(6, 10.0, 0.225): 0.733333333333
(6, 10.0, 0.25): 0.666666666667
(6, 100.0, 0.225): 0.733333333333
(6, 100.0, 0.25): 0.666666666667
(7, 1.0, 0.225): 0.933333333333
(7, 1.0, 0.25): 0.866666666667
(7, 10.0, 0.225): 0.866666666667
(7, 10.0, 0.25): 0.933333333333
(7, 100.0, 0.225): 0.866666666667
(7, 100.0, 0.25): 0.866666666667
(8, 1.0, 0.225): 0.8
(8, 1.0, 0.275): 0.8
(8, 10.0, 0.225): 0.8
(8, 10.0, 0.275): 0.8
(8, 100.0, 0.225): 0.733333333333
(8, 100.0, 0.275): 0.8
(9, 1.0, 0.225): 0.933333333333
(9, 10.0, 0.225): 0.933333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.4
(0, 1.0, 0.225): 0.333333333333
(0, 1.0, 0.25): 0.266666666667
(0, 1.0, 0.275): 0.333333333333
(0, 10.0, 0.2): 0.4
(0, 10.0, 0.225): 0.333333333333
(0, 10.0, 0.25): 0.266666666667
(0, 10.0, 0.275): 0.333333333333
(0, 100.0, 0.225): 0.333333333333
(0, 100.0, 0.25): 0.266666666667
(0, 100.0, 0.275): 0.0666666666667
(1, 1.0, 0.2): 0.0666666666667
(1, 1.0, 0.225): 0.266666666667
(1, 1.0, 0.25): 0.133333333333
(1, 1.0, 0.275): 0.133333333333
(1, 10.0, 0.225): 0.266666666667
(1, 10.0, 0.25): 0.133333333333
(1, 10.0, 0.275): 0.133333333333
(1, 100.0, 0.2): 0.0666666666667
(1, 100.0, 0.225): 0.266666666667
(1, 100.0, 0.25): 0.133333333333
(1, 100.0, 0.275): 0.133333333333
(2, 1.0, 0.2): 0.466666666667
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.133333333333
(2, 1.0, 0.3): 0.133333333333
(2, 10.0, 0.2): 0.466666666667
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.133333333333
(2, 10.0, 0.3): 0.133333333333
(2, 100.0, 0.2): 0.466666666667
(2, 100.0, 0.225): 0.0666666666667
(2, 100.0, 0.25): 0.133333333333
(2, 100.0, 0.3): 0.133333333333
(3, 1.0, 0.275): 0.0666666666667
(3, 10.0, 0.275): 0.0666666666667
(4, 0.1, 0.275): 0.133333333333
(4, 1.0, 0.2): 0.533333333333
(4, 1.0, 0.25): 0.266666666667
(4, 1.0, 0.275): 0.266666666667
(4, 10.0, 0.25): 0.266666666667
(4, 10.0, 0.275): 0.266666666667
(4, 100.0, 0.2): 0.6
(4, 100.0, 0.25): 0.266666666667
(4, 100.0, 0.275): 0.0666666666667
(5, 0.1, 0.275): 0.266666666667
(5, 0.1, 0.3): 0.0
(5, 1.0, 0.25): 0.0
(5, 1.0, 0.275): 0.266666666667
(5, 1.0, 0.3): 0.0
(5, 10.0, 0.25): 0.0666666666667
(5, 10.0, 0.275): 0.266666666667
(5, 10.0, 0.3): 0.0
(5, 100.0, 0.25): 0.0666666666667
(5, 100.0, 0.275): 0.266666666667
(5, 100.0, 0.3): 0.0
(6, 1.0, 0.225): 0.266666666667
(6, 1.0, 0.25): 0.333333333333
(6, 10.0, 0.225): 0.266666666667
(6, 10.0, 0.25): 0.333333333333
(6, 100.0, 0.225): 0.266666666667
(6, 100.0, 0.25): 0.333333333333
(7, 1.0, 0.225): 0.0666666666667
(7, 1.0, 0.25): 0.133333333333
(7, 10.0, 0.225): 0.133333333333
(7, 10.0, 0.25): 0.0666666666667
(7, 100.0, 0.225): 0.133333333333
(7, 100.0, 0.25): 0.133333333333
(8, 1.0, 0.225): 0.2
(8, 1.0, 0.275): 0.2
(8, 10.0, 0.225): 0.2
(8, 10.0, 0.275): 0.2
(8, 100.0, 0.225): 0.266666666667
(8, 100.0, 0.275): 0.2
(9, 1.0, 0.225): 0.0666666666667
(9, 10.0, 0.225): 0.0666666666667

Accuracy mean :0.7982456140350876
Std deviation :0.13244161649198083
Loss mean :0.2017543859649123
Std deviation :0.13244161649198083



Force_False_4dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 4
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.866666666667
(1, 100.0, 0.275): 0.466666666667
(2, 100.0, 0.25): 0.933333333333
(3, 1.0, 0.225): 0.866666666667
(4, 100.0, 0.25): 0.733333333333
(5, 1.0, 0.25): 0.266666666667
(6, 10.0, 0.3): 0.6
(7, 10.0, 0.225): 0.6
(8, 100.0, 0.25): 0.333333333333
(9, 10.0, 0.225): 0.666666666667

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.133333333333
(1, 100.0, 0.275): 0.533333333333
(2, 100.0, 0.25): 0.0666666666667
(3, 1.0, 0.225): 0.133333333333
(4, 100.0, 0.25): 0.266666666667
(5, 1.0, 0.25): 0.733333333333
(6, 10.0, 0.3): 0.4
(7, 10.0, 0.225): 0.4
(8, 100.0, 0.25): 0.666666666667
(9, 10.0, 0.225): 0.333333333333

Accuracy mean :0.6333333333333333
Std deviation :0.21550973166992818
Loss mean :0.36666666666666664
Std deviation :0.21550973166992818

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.25): 0.681481481481
(1, 100.0, 0.275): 0.688888888889
(2, 100.0, 0.25): 0.918518518519
(3, 1.0, 0.225): 0.77037037037
(4, 100.0, 0.25): 0.659259259259
(5, 1.0, 0.25): 0.340740740741
(6, 10.0, 0.3): 0.674074074074
(7, 10.0, 0.225): 0.77037037037
(8, 100.0, 0.25): 0.703703703704
(9, 10.0, 0.225): 0.814814814815
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.25): 0.318518518519
(1, 100.0, 0.275): 0.311111111111
(2, 100.0, 0.25): 0.0814814814815
(3, 1.0, 0.225): 0.22962962963
(4, 100.0, 0.25): 0.340740740741
(5, 1.0, 0.25): 0.659259259259
(6, 10.0, 0.3): 0.325925925926
(7, 10.0, 0.225): 0.22962962963
(8, 100.0, 0.25): 0.296296296296
(9, 10.0, 0.225): 0.185185185185

Accuracy mean :0.7022222222222222
Std deviation :0.14236104336041747
Loss mean :0.2977777777777778
Std deviation :0.14236104336041747

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.25): 0.466666666667
(0, 0.1, 0.3): 0.6
(0, 1.0, 0.2): 0.2
(0, 1.0, 0.225): 0.466666666667
(0, 1.0, 0.25): 0.866666666667
(0, 1.0, 0.275): 0.4
(0, 1.0, 0.3): 0.266666666667
(0, 10.0, 0.2): 0.133333333333
(0, 10.0, 0.225): 0.466666666667
(0, 10.0, 0.25): 0.866666666667
(0, 10.0, 0.275): 0.4
(0, 10.0, 0.3): 0.333333333333
(0, 100.0, 0.2): 0.2
(0, 100.0, 0.225): 0.0666666666667
(0, 100.0, 0.25): 0.866666666667
(0, 100.0, 0.275): 0.4
(0, 100.0, 0.3): 0.333333333333
(1, 0.1, 0.25): 0.666666666667
(1, 0.1, 0.275): 0.666666666667
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.225): 0.6
(1, 1.0, 0.25): 0.666666666667
(1, 1.0, 0.275): 0.666666666667
(1, 1.0, 0.3): 0.266666666667
(1, 10.0, 0.2): 0.266666666667
(1, 10.0, 0.225): 0.666666666667
(1, 10.0, 0.25): 0.666666666667
(1, 10.0, 0.275): 0.666666666667
(1, 10.0, 0.3): 0.266666666667
(1, 100.0, 0.2): 0.666666666667
(1, 100.0, 0.225): 0.6
(1, 100.0, 0.25): 0.666666666667
(1, 100.0, 0.275): 0.666666666667
(1, 100.0, 0.3): 0.266666666667
(2, 0.1, 0.3): 0.6
(2, 1.0, 0.2): 0.2
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.933333333333
(2, 1.0, 0.275): 0.8
(2, 1.0, 0.3): 0.6
(2, 10.0, 0.2): 0.2
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.933333333333
(2, 10.0, 0.275): 0.2
(2, 10.0, 0.3): 0.6
(2, 100.0, 0.2): 0.2
(2, 100.0, 0.225): 0.933333333333
(2, 100.0, 0.25): 0.933333333333
(2, 100.0, 0.275): 0.2
(2, 100.0, 0.3): 0.6
(3, 0.1, 0.2): 0.266666666667
(3, 0.1, 0.25): 0.533333333333
(3, 0.1, 0.275): 0.533333333333
(3, 0.1, 0.3): 0.533333333333
(3, 1.0, 0.2): 0.266666666667
(3, 1.0, 0.225): 0.733333333333
(3, 1.0, 0.25): 0.533333333333
(3, 1.0, 0.275): 0.266666666667
(3, 1.0, 0.3): 0.533333333333
(3, 10.0, 0.2): 0.266666666667
(3, 10.0, 0.225): 0.733333333333
(3, 10.0, 0.25): 0.533333333333
(3, 10.0, 0.275): 0.266666666667
(3, 10.0, 0.3): 0.533333333333
(3, 100.0, 0.2): 0.266666666667
(3, 100.0, 0.225): 0.733333333333
(3, 100.0, 0.25): 0.533333333333
(3, 100.0, 0.275): 0.533333333333
(3, 100.0, 0.3): 0.533333333333
(4, 0.1, 0.275): 0.6
(4, 0.1, 0.3): 0.6
(4, 1.0, 0.2): 0.4
(4, 1.0, 0.225): 0.733333333333
(4, 1.0, 0.25): 0.866666666667
(4, 1.0, 0.275): 0.6
(4, 1.0, 0.3): 0.6
(4, 10.0, 0.2): 0.266666666667
(4, 10.0, 0.225): 0.733333333333
(4, 10.0, 0.25): 0.866666666667
(4, 10.0, 0.275): 0.6
(4, 10.0, 0.3): 0.6
(4, 100.0, 0.2): 0.133333333333
(4, 100.0, 0.25): 0.866666666667
(4, 100.0, 0.275): 0.6
(4, 100.0, 0.3): 0.6
(5, 1.0, 0.2): 0.466666666667
(5, 1.0, 0.225): 0.466666666667
(5, 1.0, 0.25): 0.933333333333
(5, 1.0, 0.275): 0.466666666667
(5, 1.0, 0.3): 0.466666666667
(5, 10.0, 0.2): 0.466666666667
(5, 10.0, 0.225): 0.466666666667
(5, 10.0, 0.25): 0.933333333333
(5, 10.0, 0.275): 0.466666666667
(5, 10.0, 0.3): 0.466666666667
(5, 100.0, 0.2): 0.733333333333
(5, 100.0, 0.225): 0.466666666667
(5, 100.0, 0.25): 0.933333333333
(5, 100.0, 0.275): 0.466666666667
(5, 100.0, 0.3): 0.466666666667
(6, 0.1, 0.25): 0.466666666667
(6, 0.1, 0.275): 0.733333333333
(6, 1.0, 0.2): 0.466666666667
(6, 1.0, 0.225): 0.0666666666667
(6, 1.0, 0.25): 0.6
(6, 1.0, 0.275): 0.666666666667
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.2): 0.466666666667
(6, 10.0, 0.225): 0.0666666666667
(6, 10.0, 0.25): 0.466666666667
(6, 10.0, 0.275): 0.666666666667
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.2): 0.466666666667
(6, 100.0, 0.225): 0.666666666667
(6, 100.0, 0.25): 0.6
(6, 100.0, 0.275): 0.666666666667
(6, 100.0, 0.3): 0.733333333333
(7, 0.1, 0.25): 0.533333333333
(7, 0.1, 0.275): 0.533333333333
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.225): 0.733333333333
(7, 1.0, 0.25): 0.533333333333
(7, 1.0, 0.275): 0.533333333333
(7, 1.0, 0.3): 0.533333333333
(7, 10.0, 0.225): 0.733333333333
(7, 10.0, 0.25): 0.533333333333
(7, 10.0, 0.275): 0.533333333333
(7, 10.0, 0.3): 0.533333333333
(7, 100.0, 0.225): 0.733333333333
(7, 100.0, 0.25): 0.533333333333
(7, 100.0, 0.275): 0.533333333333
(7, 100.0, 0.3): 0.533333333333
(8, 0.1, 0.275): 0.733333333333
(8, 0.1, 0.3): 0.733333333333
(8, 1.0, 0.2): 0.4
(8, 1.0, 0.225): 0.666666666667
(8, 1.0, 0.25): 0.933333333333
(8, 1.0, 0.275): 0.333333333333
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.225): 0.733333333333
(8, 10.0, 0.25): 0.933333333333
(8, 10.0, 0.275): 0.733333333333
(8, 10.0, 0.3): 0.733333333333
(8, 100.0, 0.225): 0.666666666667
(8, 100.0, 0.25): 1.0
(8, 100.0, 0.275): 0.333333333333
(8, 100.0, 0.3): 0.733333333333
(9, 0.1, 0.275): 0.666666666667
(9, 1.0, 0.225): 0.733333333333
(9, 1.0, 0.275): 0.666666666667
(9, 1.0, 0.3): 0.466666666667
(9, 10.0, 0.225): 0.733333333333
(9, 10.0, 0.25): 0.733333333333
(9, 10.0, 0.275): 0.666666666667
(9, 10.0, 0.3): 0.466666666667
(9, 100.0, 0.225): 0.733333333333
(9, 100.0, 0.25): 0.2
(9, 100.0, 0.275): 0.666666666667
(9, 100.0, 0.3): 0.466666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.25): 0.533333333333
(0, 0.1, 0.3): 0.4
(0, 1.0, 0.2): 0.8
(0, 1.0, 0.225): 0.533333333333
(0, 1.0, 0.25): 0.133333333333
(0, 1.0, 0.275): 0.6
(0, 1.0, 0.3): 0.733333333333
(0, 10.0, 0.2): 0.866666666667
(0, 10.0, 0.225): 0.533333333333
(0, 10.0, 0.25): 0.133333333333
(0, 10.0, 0.275): 0.6
(0, 10.0, 0.3): 0.666666666667
(0, 100.0, 0.2): 0.8
(0, 100.0, 0.225): 0.933333333333
(0, 100.0, 0.25): 0.133333333333
(0, 100.0, 0.275): 0.6
(0, 100.0, 0.3): 0.666666666667
(1, 0.1, 0.25): 0.333333333333
(1, 0.1, 0.275): 0.333333333333
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.225): 0.4
(1, 1.0, 0.25): 0.333333333333
(1, 1.0, 0.275): 0.333333333333
(1, 1.0, 0.3): 0.733333333333
(1, 10.0, 0.2): 0.733333333333
(1, 10.0, 0.225): 0.333333333333
(1, 10.0, 0.25): 0.333333333333
(1, 10.0, 0.275): 0.333333333333
(1, 10.0, 0.3): 0.733333333333
(1, 100.0, 0.2): 0.333333333333
(1, 100.0, 0.225): 0.4
(1, 100.0, 0.25): 0.333333333333
(1, 100.0, 0.275): 0.333333333333
(1, 100.0, 0.3): 0.733333333333
(2, 0.1, 0.3): 0.4
(2, 1.0, 0.2): 0.8
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.0666666666667
(2, 1.0, 0.275): 0.2
(2, 1.0, 0.3): 0.4
(2, 10.0, 0.2): 0.8
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.0666666666667
(2, 10.0, 0.275): 0.8
(2, 10.0, 0.3): 0.4
(2, 100.0, 0.2): 0.8
(2, 100.0, 0.225): 0.0666666666667
(2, 100.0, 0.25): 0.0666666666667
(2, 100.0, 0.275): 0.8
(2, 100.0, 0.3): 0.4
(3, 0.1, 0.2): 0.733333333333
(3, 0.1, 0.25): 0.466666666667
(3, 0.1, 0.275): 0.466666666667
(3, 0.1, 0.3): 0.466666666667
(3, 1.0, 0.2): 0.733333333333
(3, 1.0, 0.225): 0.266666666667
(3, 1.0, 0.25): 0.466666666667
(3, 1.0, 0.275): 0.733333333333
(3, 1.0, 0.3): 0.466666666667
(3, 10.0, 0.2): 0.733333333333
(3, 10.0, 0.225): 0.266666666667
(3, 10.0, 0.25): 0.466666666667
(3, 10.0, 0.275): 0.733333333333
(3, 10.0, 0.3): 0.466666666667
(3, 100.0, 0.2): 0.733333333333
(3, 100.0, 0.225): 0.266666666667
(3, 100.0, 0.25): 0.466666666667
(3, 100.0, 0.275): 0.466666666667
(3, 100.0, 0.3): 0.466666666667
(4, 0.1, 0.275): 0.4
(4, 0.1, 0.3): 0.4
(4, 1.0, 0.2): 0.6
(4, 1.0, 0.225): 0.266666666667
(4, 1.0, 0.25): 0.133333333333
(4, 1.0, 0.275): 0.4
(4, 1.0, 0.3): 0.4
(4, 10.0, 0.2): 0.733333333333
(4, 10.0, 0.225): 0.266666666667
(4, 10.0, 0.25): 0.133333333333
(4, 10.0, 0.275): 0.4
(4, 10.0, 0.3): 0.4
(4, 100.0, 0.2): 0.866666666667
(4, 100.0, 0.25): 0.133333333333
(4, 100.0, 0.275): 0.4
(4, 100.0, 0.3): 0.4
(5, 1.0, 0.2): 0.533333333333
(5, 1.0, 0.225): 0.533333333333
(5, 1.0, 0.25): 0.0666666666667
(5, 1.0, 0.275): 0.533333333333
(5, 1.0, 0.3): 0.533333333333
(5, 10.0, 0.2): 0.533333333333
(5, 10.0, 0.225): 0.533333333333
(5, 10.0, 0.25): 0.0666666666667
(5, 10.0, 0.275): 0.533333333333
(5, 10.0, 0.3): 0.533333333333
(5, 100.0, 0.2): 0.266666666667
(5, 100.0, 0.225): 0.533333333333
(5, 100.0, 0.25): 0.0666666666667
(5, 100.0, 0.275): 0.533333333333
(5, 100.0, 0.3): 0.533333333333
(6, 0.1, 0.25): 0.533333333333
(6, 0.1, 0.275): 0.266666666667
(6, 1.0, 0.2): 0.533333333333
(6, 1.0, 0.225): 0.933333333333
(6, 1.0, 0.25): 0.4
(6, 1.0, 0.275): 0.333333333333
(6, 1.0, 0.3): 0.266666666667
(6, 10.0, 0.2): 0.533333333333
(6, 10.0, 0.225): 0.933333333333
(6, 10.0, 0.25): 0.533333333333
(6, 10.0, 0.275): 0.333333333333
(6, 10.0, 0.3): 0.266666666667
(6, 100.0, 0.2): 0.533333333333
(6, 100.0, 0.225): 0.333333333333
(6, 100.0, 0.25): 0.4
(6, 100.0, 0.275): 0.333333333333
(6, 100.0, 0.3): 0.266666666667
(7, 0.1, 0.25): 0.466666666667
(7, 0.1, 0.275): 0.466666666667
(7, 0.1, 0.3): 0.466666666667
(7, 1.0, 0.225): 0.266666666667
(7, 1.0, 0.25): 0.466666666667
(7, 1.0, 0.275): 0.466666666667
(7, 1.0, 0.3): 0.466666666667
(7, 10.0, 0.225): 0.266666666667
(7, 10.0, 0.25): 0.466666666667
(7, 10.0, 0.275): 0.466666666667
(7, 10.0, 0.3): 0.466666666667
(7, 100.0, 0.225): 0.266666666667
(7, 100.0, 0.25): 0.466666666667
(7, 100.0, 0.275): 0.466666666667
(7, 100.0, 0.3): 0.466666666667
(8, 0.1, 0.275): 0.266666666667
(8, 0.1, 0.3): 0.266666666667
(8, 1.0, 0.2): 0.6
(8, 1.0, 0.225): 0.333333333333
(8, 1.0, 0.25): 0.0666666666667
(8, 1.0, 0.275): 0.666666666667
(8, 1.0, 0.3): 0.266666666667
(8, 10.0, 0.225): 0.266666666667
(8, 10.0, 0.25): 0.0666666666667
(8, 10.0, 0.275): 0.266666666667
(8, 10.0, 0.3): 0.266666666667
(8, 100.0, 0.225): 0.333333333333
(8, 100.0, 0.25): 0.0
(8, 100.0, 0.275): 0.666666666667
(8, 100.0, 0.3): 0.266666666667
(9, 0.1, 0.275): 0.333333333333
(9, 1.0, 0.225): 0.266666666667
(9, 1.0, 0.275): 0.333333333333
(9, 1.0, 0.3): 0.533333333333
(9, 10.0, 0.225): 0.266666666667
(9, 10.0, 0.25): 0.266666666667
(9, 10.0, 0.275): 0.333333333333
(9, 10.0, 0.3): 0.533333333333
(9, 100.0, 0.225): 0.266666666667
(9, 100.0, 0.25): 0.8
(9, 100.0, 0.275): 0.333333333333
(9, 100.0, 0.3): 0.533333333333

Accuracy mean :0.5614255765199162
Std deviation :0.2115311255293519
Loss mean :0.4385744234800838
Std deviation :0.2115311255293519



